
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
6A:42:A1:AD:53:E8, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  8, 360, WPA2, CCMP, PSK, -17,       49,       15,   0.  0.  0.  0,  12, 506F726E2034, 
6A:42:A1:AD:53:E9, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  8, 360, WPA2, CCMP, PSK, -18,       57,       12,   0.  0.  0.  0,   0, , 
8C:A3:99:20:B0:81, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  6, 130, WPA2, CCMP TKIP, PSK, -31,       50,        0,   0.  0.  0.  0,   0, , 
30:68:93:D7:20:C0, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  1,  -1, WPA, ,   , -77,        0,       21,   0.  0.  0.  0,   0, , 
B4:A7:C6:0E:8C:19, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  1,  -1, WPA, ,   , -76,        0,        1,   0.  0.  0.  0,   0, , 
28:87:BA:40:65:8B, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  8, 360, WPA2, CCMP, PSK, -44,       30,        9,   0.  0.  0.  0,  12, 506F726E2034, 
4A:87:BA:40:65:8B, 2025-08-04 20:00:24, 2025-08-04 20:00:57,  8, 360, WPA2, CCMP, PSK, -44,       24,        0,   0.  0.  0.  0,   0, , 
20:BB:BC:7B:D6:45, 2025-08-04 20:00:25, 2025-08-04 20:00:25,  3, 130, WPA2, CCMP, PSK, -83,        1,        0,   0.  0.  0.  0,  16, AIRTEL_846926765, 
30:CC:21:F1:D5:42, 2025-08-04 20:00:27, 2025-08-04 20:00:43, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AA:88:1F:E8:BD:21, 2025-08-04 20:00:27, 2025-08-04 20:00:44, 36, 866, WPA2, CCMP, PSK, -79,        6,        0,   0.  0.  0.  0,   0, , 
30:68:93:D7:20:C1, 2025-08-04 20:00:28, 2025-08-04 20:00:44, 36, 390, WPA2, CCMP, PSK, -69,       10,       57,   0.  0.  0.  0,  15, SVA Wifi 5G_EXT, 
A8:88:1F:E8:BD:21, 2025-08-04 20:00:28, 2025-08-04 20:00:44, 36, 866, WPA2, CCMP, PSK, -74,        6,       28,   0.  0.  0.  0,  11, SVA Wifi 5G, 
28:87:BA:40:65:8A, 2025-08-04 20:00:29, 2025-08-04 20:00:45, 48, 866, WPA2, CCMP, PSK, -47,       10,        0,   0.  0.  0.  0,  12, 506F726E2036, 
4A:87:BA:40:65:8A, 2025-08-04 20:00:29, 2025-08-04 20:00:45, 48, 866, WPA2, CCMP, PSK, -47,       10,        0,   0.  0.  0.  0,   0, , 
62:42:A1:AD:53:E8, 2025-08-04 20:00:29, 2025-08-04 20:00:45, 48, 1733, WPA2, CCMP, PSK, -21,       10,        0,   0.  0.  0.  0,   0, , 
62:42:A1:AD:53:EF, 2025-08-04 20:00:29, 2025-08-04 20:00:45, 48, 1733, WPA2, CCMP, PSK, -21,       10,        0,   0.  0.  0.  0,  12, 506F726E2036, 
8C:A3:99:20:B0:82, 2025-08-04 20:00:38, 2025-08-04 20:00:54, 157, 866, WPA2, CCMP TKIP, PSK, -10,       10,        0,   0.  0.  0.  0,   0, , 
8E:A3:99:30:B0:82, 2025-08-04 20:00:38, 2025-08-04 20:00:54, 157, 866, WPA2, CCMP, PSK, -12,       10,        0,   0.  0.  0.  0,   0, , 
A8:88:1F:E8:BD:20, 2025-08-04 20:00:41, 2025-08-04 20:00:57,  3,  -1, WPA, ,   , -54,        0,        6,   0.  0.  0.  0,   0, , 
AA:88:1F:E8:BD:20, 2025-08-04 20:00:41, 2025-08-04 20:00:41,  3, 130, WPA2, CCMP, PSK, -69,        1,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
28:18:FD:2C:B1:DD, 2025-08-04 20:00:24, 2025-08-04 20:00:24,  -1,        1, B4:A7:C6:0E:8C:19,
EC:64:C9:5E:B9:30, 2025-08-04 20:00:24, 2025-08-04 20:00:56,  -1,       14, 6A:42:A1:AD:53:E8,
84:A3:29:73:DE:DC, 2025-08-04 20:00:25, 2025-08-04 20:00:25, -64,        3, 28:87:BA:40:65:8B,
50:FD:D5:12:64:F7, 2025-08-04 20:00:27, 2025-08-04 20:00:43, -67,        8, 30:CC:21:F1:D5:42,
1C:E8:9E:17:6F:BE, 2025-08-04 20:00:27, 2025-08-04 20:00:43, -79,        6, 30:CC:21:F1:D5:42,
36:68:93:D7:20:C1, 2025-08-04 20:00:28, 2025-08-04 20:00:28, -68,        2, A8:88:1F:E8:BD:21,
D4:F3:2D:23:74:F4, 2025-08-04 20:00:29, 2025-08-04 20:00:30, -49,        3, 62:42:A1:AD:53:EF,
02:3A:69:BF:10:3E, 2025-08-04 20:00:38, 2025-08-04 20:00:38, -50,        2, (not associated) ,
DE:FE:C1:AF:FA:13, 2025-08-04 20:00:40, 2025-08-04 20:00:57, -88,        2, B4:A7:C6:0E:8C:19,
6C:E8:C6:82:25:AE, 2025-08-04 20:00:41, 2025-08-04 20:00:57,  -1,        5, A8:88:1F:E8:BD:20,
D0:49:7C:1D:D3:25, 2025-08-04 20:00:44, 2025-08-04 20:00:44, -77,        2, (not associated) ,
A8:BA:69:89:8E:47, 2025-08-04 20:00:45, 2025-08-04 20:00:45, -55,        1, 62:42:A1:AD:53:EF,
32:68:93:07:20:C0, 2025-08-04 20:00:55, 2025-08-04 20:00:55, -74,        1, A8:88:1F:E8:BD:20,

